"donor","gene","detected_pct_P2","mean_UMI_per_cell_P2","detected_pct_P5","mean_UMI_per_cell_P5","delta_detected_pct","log2_mean_UMI_fold_change"
"K86","KRT1",9.66436562723161,1.72601761485361,18.3565107458913,3.1251580278129,8.69214511865967,0.856107910832557
"K86","KRT10",83.5277314925018,7.37752915972388,89.9873577749684,15.3987357774968,6.4596262824666,1.06150043555498
"K86","KRT14",99.9285884313259,475.011901928112,99.9747155499368,564.5198482933,0.0461271186109258,0.249060162758244
"K86","KRT5",99.5715305879552,246.640085693882,99.8230088495575,308.507711757269,0.251478261602287,0.322898083987986
"K86","LMNB1",25.6605570102357,0.403951440133302,7.33249051833123,0.117572692793932,-18.3280664919044,-1.77197712068053
"K86","LOR",0.261842418471792,0.0418947869554868,3.71681415929204,0.475094816687737,3.45497174082024,3.47237469077119
"K86","LUM",0.0476077124494168,0.000476077124494168,0.0252844500632111,0.000252844500632111,-0.0223232623862057,-0.23656074094639
"K86","MKI67",47.6315163056415,3.34610806950726,13.0214917825537,1.12085967130215,-34.6100245230878,-1.57702290609685
"K86","SPINK5",72.6017614853606,10.651273506308,78.4576485461441,28.2495575221239,5.8558870607835,1.40711796268518
"K86","SPRR1A",14.9012139966675,0.696500833134968,19.1403286978508,0.991908975979772,4.23911470118336,0.509466525889658
"K86","SPRR1B",60.8902642228041,23.6641275886694,88.5714285714286,56.360809102402,27.6811643486245,1.25195521976935
"K86","TGM1",37.8957391097358,1.60842656510355,52.0353982300885,4.06042983565107,14.1396591203527,1.33544096987559
"K86","TOP2A",35.753392049512,2.1713877648179,9.86093552465234,0.84070796460177,-25.8924565248597,-1.36788996903079
"K86","TP63",60.3665793858605,1.48774101404428,58.558786346397,1.56814159292035,-1.80779303946355,0.075882740989742
"K86","TYMS",55.9390621280647,2.02999285884313,30.6447534766119,0.853603034134008,-25.2943086514529,-1.24885882279194
"K86","UBE2C",37.2054272792192,2.91240180909307,11.6561314791403,1.35752212389381,-25.5492958000789,-1.10066662766996
